sep=|
Comp|z|Delta_Gf0 (kJ/mol)|Delta_Hf0 (kJ/mol)|State|Ref
H2O|           0|    -237.129|     -285.83|l|3
CO2|           0|     -385.98|      -413.8|ao, un-ionized|3
CO2|           0|    -394.359|    -393.509|g|3
Na2CO3|           0|     -1044.4|    -1130.68|cr|3
MgCO3|           0|     -1012.1|     -1095.8|cr, magnesite|3
CaCO3|           0|    -1128.79|    -1206.92|cr, calcite|3
H2CO3|           0|     -623.08|     -699.65|ao, un-ionized|3
NaHCO3|           0|        -851|     -950.81|s, cr|3
NaOH|           0|    -379.494|    -425.609|cr|3
Mg(OH)2|           0|     -833.51|     -924.54|cr|3
Ca(OH)2|           0|     -898.49|     -986.09|cr|3
Na2OSiO2|           0|     -1462.8|     -1554.9|cr, s|3
SiO2|           0|     -856.64|-910.9400000000001|cr, alpha quartz|3
SiO2|           0|-850.7000000000001|     -903.49|cr, am|3
H2SiO3|           0|     -1092.4|     -1188.7|cr, s|3
H2SiO3|           0|     -1079.4|     -1182.8|ao, un-ionized|3
H4SiO4|           0|     -1332.9|     -1481.1|cr, s|3
H4SiO4|           0|     -1316.6|     -1468.6|ao, un-ionized|3
H2Si(OH)6|           0|     -1790.9|     -2040.1|ao, un-ionized|3
H2Si2O5|           0|     -1943.4|     -2088.7|cr, s|3
H6Si2O7|           0|     -2425.7|     -2669.4|cr, s|3
Na2Si2O5|           0|       -2322|     -2467.7|cr, s|3
(CaO)2SiO2|           0|     -2192.8|     -2307.5|cr, beta|3
(CaO)3SiO2|           0|     -2929.2|       -2784|cr, s|3
NaCl|           0|    -384.138|    -411.153|cr, s|3
MgCl2|           0|     -591.79|-641.3200000000001|cr|3
CaCl2|           0|      -748.1|      -795.8|cr, s|3
H3O|           1|    -237.129|     -285.83|ao, un-ionized|3
OH|          -1|    -157.244|    -229.994|ao, un-ionized|3
Na|           1|    -261.905|     -240.12|ao, un-ionized|3
Mg|           2|      -454.8|     -466.85|ao, un-ionized|3
Ca|           2|     -553.58|     -542.83|ao, un-ionized|3
CO3|          -2|     -527.81|     -677.14|ao, un-ionized|3
HCO3|          -1|     -586.77|     -691.99|ao, un-ionized|3
Cl|          -1|    -131.228|    -167.159|ao, un-ionized|3
